vendor_id,vendor_name,category,location,rating
V001,Alpha Supplies,Raw Material,Mumbai,4.5
V002,SuperTech Industries,Electronics,Pune,4.1
V003,Prime Metal Works,Raw Material,Nashik,3.9
V004,QuickBolt Pvt Ltd,Hardware,Mumbai,4.6
V005,Vision Traders,Services,Pune,4.0
V006,Sai Enterprises,Raw Material,Thane,3.7
V007,Global Parts Ltd,Electronics,Mumbai,4.3
V008,Metro Engineering,Hardware,Nagpur,3.8
V009,Shivam Components,Raw Material,Pune,4.2
V010,Zenith Suppliers,Hardware,Mumbai,4.4
V011,Laxmi Metals,Raw Material,Nashik,3.6
V012,FastenRight Co,Hardware,Pune,4.5
V013,BrightTech India,Electronics,Mumbai,3.9
V014,Galaxy Parts,Hardware,Pune,4.1
V015,Classic Tools,Hardware,Thane,4.3
V016,Sunrise Equipments,Electronics,Mumbai,3.8
V017,FutureWorks Ltd,Services,Pune,4.4
V018,IronClad Metals,Raw Material,Nashik,3.5
V019,Sigma Solutions,Services,Mumbai,4.2
V020,Perfect Engineering,Hardware,Nashik,3.9
